C	D50	D65	E
0,31339	0,24587	0,49975	1
0,37911	0,30829	0,52312	1
0,45014	0,37071	0,54648	1
0,52393	0,43313	0,68701	1
0,60114	0,49555	0,82755	1
0,68196	0,5223	0,8712	1
0,76543	0,54905	0,91486	1
0,85024	0,5758	0,92459	1
0,93162	0,60255	0,93432	1
1,00475	0,6395	0,90057	1
1,06743	0,67644	0,86682	1
1,11823	0,71338	0,95774	1
1,15385	0,75032	1,04865	1
1,17236	0,78981	1,10936	1
1,17759	0,8293	1,17008	1
1,17379	0,86879	1,1741	1
1,16904	0,90828	1,17812	1
1,17094	0,91975	1,16336	1
1,17569	0,93121	1,14861	1
1,17844	0,94268	1,15392	1
1,17664	0,95414	1,15923	1
1,16733	0,95541	1,12367	1
1,14625	0,95669	1,08811	1
1,11016	0,95796	1,09082	1
1,06458	0,95924	1,09354	1
1,01595	0,96306	1,08578	1
0,97151	0,96688	1,07802	1
0,93837	0,9707	1,06296	1
0,92023	0,97452	1,0479	1
0,91909	0,98344	1,06239	1
0,93067	0,99236	1,07689	1
0,9491	1,00127	1,06047	1
0,96961	1,01019	1,04405	1
0,98718	1,00764	1,04225	1
0,99905	1,0051	1,04046	1
1,00351	1,00255	1,02023	1
1	1	1	1
0,9887	0,99745	0,98167	1
0,97151	0,9949	0,96334	1
0,95109	0,99236	0,96061	1
0,92877	0,98981	0,95788	1
0,90627	0,98726	0,92237	1
0,88509	0,98471	0,88686	1
0,86629	0,98217	0,89346	1
0,85185	0,97962	0,90006	1
0,84359	0,98217	0,89803	1
0,83951	0,98471	0,89599	1
0,83751	0,98726	0,88649	1
0,83666	0,98981	0,87699	1
0,83628	0,98981	0,85494	1
0,83571	0,98981	0,83289	1
0,83438	0,98981	0,83494	1
0,83381	0,98981	0,83699	1
0,83561	0,98854	0,81863	1
0,83761	0,98726	0,80027	1
0,83761	0,98599	0,80121	1
0,83476	0,98471	0,80215	1
0,8283	0,98726	0,81246	1
0,81956	0,98981	0,82278	1
0,81007	0,99236	0,80281	1
0,79772	0,9949	0,78284	1
0,78072	0,9758	0,74003	1
0,76163	0,95669	0,69721	1
0,74302	0,93758	0,70665	1
0,7246	0,91847	0,71609	1
0,70617	0,88153	0,72979	1
0,68756	0,84459	0,74349	1
0,66857	0,80765	0,67977	1
0,64862	0,7707	0,61604	1
0,62963	0,81019	0,65745	1
0,61159	0,84968	0,69886	1
0,59639	0,88917	0,72486	1
0,58405	0,92866	0,75087	1
0,5717	0,84077	0,6934	1
0,5622	0,75287	0,63593	1
0,55556	0,66497	0,55005	1
0,55176	0,57708	0,46418	1
0,55081	0,6293	0,56612	1
0,55271	0,68153	0,66805	1
0,55271	0,73376	0,65094	1
0,55271	0,78599	0,63383	1
