Lambda (nm)	A	B	C	D50	D55	D65	D75	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
380	0,09795	0,218	0,31339	0,24587	0,326	0,49975	0,667	0,1305	0,07302	0,04931	0,03491	0,12303	0,06098	0,2035	0,10289	0,07064	0,3284	0,32155	0,31169
385	0,109	0,261	0,37911	0,30829	0,3535	0,52312	0,6835	0,16469	0,09158	0,06133	0,04287	0,15461	0,07607	0,25278	0,12755	0,08791	0,18639	0,22261	0,20779
390	0,12085	0,304	0,45014	0,37071	0,381	0,54648	0,7	0,20516	0,11386	0,07577	0,05328	0,19211	0,09466	0,30525	0,15391	0,10675	0,18343	0,16254	0,1461
395	0,13354	0,353	0,52393	0,43313	0,4955	0,68701	0,8595	0,24215	0,13304	0,08659	0,06001	0,22697	0,11034	0,3601	0,18112	0,12559	0,16864	0,13074	0,10714
400	0,14708	0,402	0,60114	0,49555	0,61	0,82755	1,019	0,36078	0,21287	0,15454	0,12309	0,33553	0,1806	0,48887	0,26956	0,2033	0,43787	0,45583	0,38636
405	0,16148	0,4545	0,68196	0,5223	0,648	0,8712	1,069	1,36008	0,97092	0,8635	0,84201	1,24408	0,85947	1,53975	1,11224	1,00471	3,59763	4,48057	4,05195
410	0,17675	0,507	0,76543	0,54905	0,686	0,91486	1,119	0,42777	0,23824	0,16236	0,11941	0,39474	0,19919	0,58585	0,32568	0,2394	0,62722	0,56184	0,36364
415	0,19291	0,561	0,85024	0,5758	0,701	0,92459	1,1235	0,43545	0,23144	0,14732	0,09737	0,40197	0,19164	0,56041	0,29337	0,20094	0,79882	0,63251	0,30519
420	0,20995	0,615	0,93162	0,60255	0,716	0,93432	1,128	0,48918	0,25928	0,16416	0,10778	0,45066	0,2137	0,61288	0,32823	0,22449	1,10651	0,86926	0,35065
425	0,22788	0,663	1,00475	0,6395	0,6975	0,90057	1,0795	0,54361	0,28589	0,1804	0,11819	0,49868	0,23635	0,66852	0,37585	0,25903	1,52071	1,17668	0,44481
430	0,24671	0,711	1,06743	0,67644	0,679	0,86682	1,031	0,59735	0,31312	0,19723	0,1286	0,54671	0,25842	0,72734	0,43282	0,29984	1,99704	1,58657	0,57792
435	0,26643	0,7485	1,11823	0,71338	0,7675	0,95774	1,1215	3,04745	2,1646	1,91521	1,85426	2,68158	1,89373	3,50874	2,89966	2,56044	10,17456	11,99293	9,43182
440	0,28703	0,786	1,15385	0,75032	0,856	1,04865	1,212	1,18214	0,73082	0,56945	0,49173	1,05658	0,62369	1,39269	1,05612	0,84537	4,39645	4,28622	2,56494
445	0,30851	0,8085	1,17236	0,78981	0,918	1,10936	1,271	0,74808	0,388	0,24173	0,15615	0,67895	0,31823	0,90223	0,65306	0,4584	3,07692	2,45583	0,86039
450	0,33086	0,831	1,17759	0,8293	0,98	1,17008	1,33	0,79204	0,41027	0,25556	0,16534	0,71776	0,33566	0,9539	0,73129	0,5157	3,18343	2,54064	0,87987
455	0,35407	0,845	1,17379	0,86879	0,9925	1,1741	1,327	0,82973	0,42884	0,26699	0,17269	0,75	0,35017	1	0,80442	0,56907	3,1568	2,5159	0,86039
460	0,37812	0,859	1,16904	0,90828	1,005	1,17812	1,324	0,86322	0,44493	0,27601	0,1782	0,77829	0,36295	1,03975	0,87075	0,61695	2,99112	2,37456	0,80844
465	0,403	0,877	1,17094	0,91975	1,002	1,16336	1,2985	0,88974	0,45792	0,28382	0,1831	0,80066	0,37224	1,06916	0,92177	0,65542	2,7426	2,16608	0,75649
470	0,42869	0,895	1,17569	0,93121	0,999	1,14861	1,273	0,90719	0,46658	0,28863	0,18616	0,81579	0,37863	1,08983	0,96344	0,68681	2,45266	1,92933	0,68182
475	0,45517	0,9105	1,17844	0,94268	1,013	1,15392	1,2705	0,91766	0,47153	0,29224	0,18861	0,825	0,38211	1,10334	0,99575	0,71115	2,1568	1,69258	0,62013
480	0,48242	0,926	1,17664	0,95414	1,027	1,15923	1,268	0,92324	0,47339	0,29284	0,18922	0,82763	0,38269	1,1089	1,01871	0,73077	2,34024	2	0,97727
485	0,51042	0,9325	1,16733	0,95541	1,004	1,12367	1,223	0,91905	0,47153	0,29164	0,18922	0,82368	0,38095	1,10731	1,03486	0,74411	4,92308	5,04947	3,51623
490	0,53913	0,939	1,14625	0,95669	0,981	1,08811	1,178	0,91626	0,47153	0,29345	0,19228	0,82039	0,38095	1,09857	1,04422	0,75432	4,9497	5,28622	3,85714
495	0,56854	0,9275	1,11016	0,95796	0,994	1,09082	1,122	0,89672	0,46101	0,28683	0,18739	0,80263	0,37282	1,08426	1,04762	0,75981	3,08876	3,16961	2,23377
500	0,59861	0,916	1,06458	0,95924	1,007	1,09354	1,066	0,87369	0,4505	0,28082	0,18371	0,78224	0,36469	1,06757	1,05017	0,76452	1,7574	1,66784	1,11364
505	0,62932	0,899	1,01595	0,96306	1,007	1,08578	1,1015	0,85136	0,44245	0,27781	0,18249	0,76382	0,36005	1,05326	1,05782	0,77551	0,98817	0,82332	0,48377
510	0,66063	0,882	0,97151	0,96688	1,007	1,07802	1,137	0,82554	0,43626	0,27781	0,18432	0,74539	0,35947	1,03975	1,06718	0,78807	0,69527	0,51943	0,2987
515	0,69252	0,8765	0,93837	0,9707	1,0035	1,06296	1,112	0,80251	0,43564	0,28443	0,19228	0,73026	0,36585	1,02782	1,07823	0,80534	0,55621	0,38869	0,23052
520	0,72496	0,871	0,92023	0,97452	1	1,0479	1,087	0,78297	0,44307	0,30006	0,20882	0,72105	0,38328	1,0159	1,08588	0,82261	0,47041	0,31449	0,19481
525	0,7579	0,884	0,91909	0,98344	1,021	1,06239	1,0955	0,77111	0,46225	0,32952	0,23882	0,72171	0,41347	1,00159	1,08163	0,83438	0,43491	0,29329	0,20455
530	0,79133	0,897	0,93067	0,99236	1,042	1,07689	1,104	0,76971	0,49752	0,37583	0,2872	0,73421	0,46109	0,98887	1,07143	0,84458	0,53254	0,41696	0,35714
535	0,82519	0,92	0,9491	1,00127	1,0315	1,06047	1,0835	0,78018	0,5495	0,44137	0,35579	0,75921	0,52671	0,98013	1,05697	0,86028	1,68935	1,73145	1,48052
