Lambda (nm)	A	B	C	E	D50	D55	D65	D75	F2	F7	F11
380	0,09795	0,218	0,31339	1	0,24587	0,326	0,49975	0,667	0,07302	0,2035	0,32155
385	0,109	0,261	0,37911	1	0,30829	0,3535	0,52312	0,6835	0,09158	0,25278	0,22261
390	0,12085	0,304	0,45014	1	0,37071	0,381	0,54648	0,7	0,11386	0,30525	0,16254
395	0,13354	0,353	0,52393	1	0,43313	0,4955	0,68701	0,8595	0,13304	0,3601	0,13074
400	0,14708	0,402	0,60114	1	0,49555	0,61	0,82755	1,019	0,21287	0,48887	0,45583
405	0,16148	0,4545	0,68196	1	0,5223	0,648	0,8712	1,069	0,97092	1,53975	4,48057
410	0,17675	0,507	0,76543	1	0,54905	0,686	0,91486	1,119	0,23824	0,58585	0,56184
415	0,19291	0,561	0,85024	1	0,5758	0,701	0,92459	1,1235	0,23144	0,56041	0,63251
420	0,20995	0,615	0,93162	1	0,60255	0,716	0,93432	1,128	0,25928	0,61288	0,86926
425	0,22788	0,663	1,00475	1	0,6395	0,6975	0,90057	1,0795	0,28589	0,66852	1,17668
430	0,24671	0,711	1,06743	1	0,67644	0,679	0,86682	1,031	0,31312	0,72734	1,58657
435	0,26643	0,7485	1,11823	1	0,71338	0,7675	0,95774	1,1215	2,1646	3,50874	11,99293
440	0,28703	0,786	1,15385	1	0,75032	0,856	1,04865	1,212	0,73082	1,39269	4,28622
445	0,30851	0,8085	1,17236	1	0,78981	0,918	1,10936	1,271	0,388	0,90223	2,45583
450	0,33086	0,831	1,17759	1	0,8293	0,98	1,17008	1,33	0,41027	0,9539	2,54064
455	0,35407	0,845	1,17379	1	0,86879	0,9925	1,1741	1,327	0,42884	1	2,5159
460	0,37812	0,859	1,16904	1	0,90828	1,005	1,17812	1,324	0,44493	1,03975	2,37456
465	0,403	0,877	1,17094	1	0,91975	1,002	1,16336	1,2985	0,45792	1,06916	2,16608
470	0,42869	0,895	1,17569	1	0,93121	0,999	1,14861	1,273	0,46658	1,08983	1,92933
475	0,45517	0,9105	1,17844	1	0,94268	1,013	1,15392	1,2705	0,47153	1,10334	1,69258
480	0,48242	0,926	1,17664	1	0,95414	1,027	1,15923	1,268	0,47339	1,1089	2
485	0,51042	0,9325	1,16733	1	0,95541	1,004	1,12367	1,223	0,47153	1,10731	5,04947
490	0,53913	0,939	1,14625	1	0,95669	0,981	1,08811	1,178	0,47153	1,09857	5,28622
495	0,56854	0,9275	1,11016	1	0,95796	0,994	1,09082	1,122	0,46101	1,08426	3,16961
500	0,59861	0,916	1,06458	1	0,95924	1,007	1,09354	1,066	0,4505	1,06757	1,66784
505	0,62932	0,899	1,01595	1	0,96306	1,007	1,08578	1,1015	0,44245	1,05326	0,82332
510	0,66063	0,882	0,97151	1	0,96688	1,007	1,07802	1,137	0,43626	1,03975	0,51943
515	0,69252	0,8765	0,93837	1	0,9707	1,0035	1,06296	1,112	0,43564	1,02782	0,38869
520	0,72496	0,871	0,92023	1	0,97452	1	1,0479	1,087	0,44307	1,0159	0,31449
525	0,7579	0,884	0,91909	1	0,98344	1,021	1,06239	1,0955	0,46225	1,00159	0,29329
530	0,79133	0,897	0,93067	1	0,99236	1,042	1,07689	1,104	0,49752	0,98887	0,41696
535	0,82519	0,92	0,9491	1	1,00127	1,0315	1,06047	1,0835	0,5495	0,98013	1,73145
540	0,85947	0,943	0,96961	1	1,01019	1,021	1,04405	1,063	0,61943	0,97456	13,9894
545	0,89412	0,9625	0,98718	1	1,00764	1,027	1,04225	1,056	1,5396	2,34658	25,73852
550	0,92912	0,982	0,99905	1	1,0051	1,033	1,04046	1,049	1,0297	1,35533	11,52297
555	0,96442	0,991	1,00351	1	1,00255	1,0165	1,02023	1,0245	0,90285	0,98887	2,65724
560	1	1	1	1	1	1	1	1	1	1	1
565	1,03582	0,999	0,9887	1	0,99745	0,986	0,98167	0,978	1,08663	1,01113	0,69258
570	1,07184	0,998	0,97151	1	0,9949	0,972	0,96334	0,956	1,15223	1,01987	0,59011
575	1,10803	0,99	0,95109	1	0,99236	0,9745	0,96061	0,949	1,32859	1,22893	1,56537
580	1,14436	0,982	0,92877	1	0,98981	0,977	0,95788	0,942	1,41027	1,33148	3,98587
585	1,1808	0,9735	0,90627	1	0,98726	0,9455	0,92237	0,906	1,19369	1,01987	5,21555
590	1,21731	0,965	0,88509	1	0,98471	0,914	0,88686	0,87	1,1547	1,00715	4,49823
595	1,25386	0,959	0,86629	1	0,98217	0,929	0,89346	0,871	1,09715	0,98967	3,4417
600	1,29043	0,953	0,85185	1	0,97962	0,944	0,90006	0,872	1,02351	0,969	2,59011
605	1,32697	0,9555	0,84359	1	0,98217	0,9475	0,89803	0,8665	0,94121	0,94515	3,43463
610	1,36346	0,958	0,83951	1	0,98471	0,951	0,89599	0,861	0,85396	0,9221	19,53004
615	1,39988	0,964	0,83751	1	0,98726	0,9465	0,88649	0,8485	0,76485	0,90223	15,04594
620	1,43618	0,97	0,83666	1	0,98981	0,942	0,87699	0,836	0,6776	0,88394	4,65724
625	1,47235	0,976	0,83628	1	0,98981	0,923	0,85494	0,8115	0,59715	0,87043	4,65018
630	1,50836	0,982	0,83571	1	0,98981	0,904	0,83289	0,787	0,5198	0,85533	4,33216
635	1,54418	0,988	0,83438	1	0,98981	0,9135	0,83494	0,7855	0,45297	0,8283	1,80565
640	1,57979	0,994	0,83381	1	0,98981	0,923	0,83699	0,784	0,39047	0,80366	0,73145
645	1,61516	1,0025	0,83561	1	0,98854	0,906	0,81863	0,766	0,33601	0,79809	0,82686
650	1,65028	1,011	0,83761	1	0,98726	0,889	0,80027	0,748	0,2896	0,7965	1,26502
655	1,6851	1,016	0,83761	1	0,98599	0,896	0,80121	0,7455	0,24876	0,80366	1,0636
660	1,71963	1,021	0,83476	1	0,98471	0,903	0,80215	0,743	0,21349	0,78458	0,87633
665	1,75383	1,0205	0,8283	1	0,98726	0,921	0,81246	0,7485	0,18317	0,6876	0,75618
670	1,78769	1,02	0,81956	1	0,98981	0,939	0,82278	0,754	0,1578	0,5779	0,54417
675	1,82118	1,0155	0,81007	1	0,99236	0,9195	0,80281	0,735	0,13552	0,51192	0,46996
680	1,85429	1,011	0,79772	1	0,9949	0,9	0,78284	0,716	0,11696	0,46343	0,5159
685	1,88701	0,9995	0,78072	1	0,9758	0,8485	0,74003	0,6775	0,10149	0,43005	0,68551
690	1,91931	0,988	0,76163	1	0,95669	0,797	0,69721	0,639	0,09468	0,40064	0,70671
695	1,95118	0,976	0,74302	1	0,93758	0,8125	0,70665	0,645	0,07859	0,36328	0,42403
700	1,98261	0,964	0,7246	1	0,91847	0,828	0,71609	0,651	0,06807	0,3275	0,47703
705	2,01359	0,95	0,70617	1	0,88153	0,838	0,72979	0,666	0,06126	0,29968	1,44876
710	2,04409	0,936	0,68756	1	0,84459	0,848	0,74349	0,681	0,05446	0,27504	1,97173
715	2,07411	0,92	0,66857	1	0,80765	0,775	0,67977	0,6225	0,04703	0,24483	0,88693
720	2,10365	0,904	0,64862	1	0,7707	0,702	0,61604	0,564	0,04208	0,21701	0,20141
725	2,13268	0,887	0,62963	1	0,81019	0,7475	0,65745	0,603	0,03775	0,19634	0,09541
730	2,1612	0,87	0,61159	1	0,84968	0,793	0,69886	0,642	0,03465	0,17886	0,08127
735	2,1892	0,8575	0,59639	1	0,88917	0,8215	0,72486	0,667	0,03342	0,16375	0,0742
740	2,21667	0,845	0,58405	1	0,92866	0,85	0,75087	0,692	0,03156	0,15103	0,08481
745	2,24361	0,837	0,5717	1	0,84077	0,7845	0,6934	0,639	0,02908	0,13911	0,08481
750	2,27	0,829	0,5622	1	0,75287	0,719	0,63593	0,586	0,02908	0,12878	0,07067
755	2,29585	0,8265	0,55556	1	0,66497	0,6235	0,55005	0,506	0,02661	0,12242	0,08481
760	2,32115	0,824	0,55176	1	0,57708	0,528	0,46418	0,426	0,02847	0,11526	0,11307
765	2,34589	0,8275	0,55081	1	0,6293	0,6435	0,56612	0,52	0,02908	0,10493	0,09187
770	2,37008	0,831	0,55271	1	0,68153	0,759	0,66805	0,614	0,02475	0,093	0,05654
775	2,3937	0,831	0,55271	1	0,73376	0,759	0,65094	0,614	0,02042	0,0787	0,0424
